array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000035,0.000035,0.000000,0.000035,0.000035,0.000035,14.6228,AVX
1024,0.000084,0.000083,0.000000,0.000083,0.000084,0.000084,12.2527,AVX
2048,0.000170,0.000168,0.000005,0.000162,0.000173,0.000173,12.0657,AVX
4096,0.000343,0.000343,0.000001,0.000342,0.000343,0.000343,11.9361,AVX
8192,0.000708,0.000710,0.000003,0.000708,0.000714,0.000714,11.5708,AVX
12288,0.001077,0.001076,0.000003,0.001072,0.001080,0.001080,11.4138,AVX
16384,0.001437,0.001436,0.000003,0.001433,0.001439,0.001439,11.4036,AVX
20480,0.001800,0.001800,0.000003,0.001797,0.001804,0.001804,11.3785,AVX
24576,0.002162,0.002164,0.000003,0.002161,0.002168,0.002168,11.3657,AVX
28672,0.002526,0.002526,0.000001,0.002524,0.002527,0.002527,11.3528,AVX
32768,0.002889,0.002888,0.000003,0.002885,0.002891,0.002891,11.3420,AVX
40960,0.003622,0.003621,0.000002,0.003618,0.003623,0.003623,11.3102,AVX
49152,0.004346,0.004348,0.000004,0.004343,0.004353,0.004353,11.3091,AVX
57344,0.005072,0.005076,0.000008,0.005068,0.005087,0.005087,11.3064,AVX
65536,0.005808,0.005809,0.000001,0.005808,0.005811,0.005811,11.2828,AVX
