array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000035,0.000035,0.000000,0.000035,0.000035,0.000035,14.6103,AVX2
1024,0.000070,0.000070,0.000000,0.000070,0.000071,0.000071,14.6408,AVX2
2048,0.000165,0.000163,0.000002,0.000161,0.000165,0.000165,12.4456,AVX2
4096,0.000343,0.000343,0.000001,0.000342,0.000345,0.000345,11.9547,AVX2
8192,0.000708,0.000708,0.000001,0.000707,0.000710,0.000710,11.5656,AVX2
12288,0.001073,0.001073,0.000001,0.001071,0.001075,0.001075,11.4569,AVX2
16384,0.001435,0.001435,0.000001,0.001433,0.001436,0.001436,11.4176,AVX2
20480,0.001799,0.001799,0.000001,0.001797,0.001801,0.001801,11.3870,AVX2
24576,0.002162,0.002161,0.000001,0.002160,0.002162,0.002162,11.3681,AVX2
28672,0.002524,0.002526,0.000003,0.002523,0.002531,0.002531,11.3576,AVX2
32768,0.002890,0.002889,0.000002,0.002886,0.002892,0.002892,11.3403,AVX2
40960,0.003615,0.003615,0.000003,0.003611,0.003617,0.003617,11.3295,AVX2
49152,0.004345,0.004343,0.000002,0.004341,0.004345,0.004345,11.3132,AVX2
57344,0.005068,0.005069,0.000001,0.005067,0.005071,0.005071,11.3148,AVX2
65536,0.005799,0.005799,0.000001,0.005798,0.005801,0.005801,11.3004,AVX2
