array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000019,0.000019,0.000000,0.000019,0.000020,0.000020,27.4298,AVX-512F
1024,0.000036,0.000036,0.000000,0.000036,0.000036,0.000036,28.5541,AVX-512F
2048,0.000083,0.000083,0.000000,0.000083,0.000083,0.000083,24.7584,AVX-512F
4096,0.000166,0.000165,0.000002,0.000162,0.000168,0.000167,24.7431,AVX-512F
8192,0.000348,0.000347,0.000001,0.000346,0.000348,0.000348,23.5560,AVX-512F
12288,0.000530,0.000531,0.000001,0.000530,0.000532,0.000532,23.1714,AVX-512F
16384,0.000715,0.000716,0.000003,0.000713,0.000720,0.000720,22.9089,AVX-512F
20480,0.000896,0.000896,0.000001,0.000895,0.000897,0.000897,22.8489,AVX-512F
24576,0.001080,0.001080,0.000002,0.001077,0.001083,0.001082,22.7542,AVX-512F
28672,0.001262,0.001262,0.000001,0.001260,0.001263,0.001263,22.7200,AVX-512F
32768,0.001447,0.001447,0.000001,0.001445,0.001448,0.001448,22.6411,AVX-512F
40960,0.001812,0.001812,0.000001,0.001811,0.001813,0.001813,22.5990,AVX-512F
49152,0.002181,0.002181,0.000002,0.002179,0.002184,0.002184,22.5375,AVX-512F
57344,0.002548,0.002547,0.000002,0.002544,0.002549,0.002549,22.5054,AVX-512F
65536,0.002913,0.002913,0.000003,0.002909,0.002916,0.002916,22.4977,AVX-512F
