array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000160,0.000161,0.000001,0.000160,0.000162,0.000162,3.2020,Scalar
1024,0.000347,0.000347,0.000004,0.000342,0.000351,0.000351,2.9471,Scalar
2048,0.000723,0.000722,0.000002,0.000719,0.000725,0.000725,2.8327,Scalar
4096,0.001460,0.001452,0.000016,0.001429,0.001466,0.001466,2.8062,Scalar
8192,0.002886,0.002891,0.000013,0.002879,0.002909,0.002908,2.8388,Scalar
12288,0.004351,0.004352,0.000033,0.004312,0.004392,0.004391,2.8242,Scalar
16384,0.005762,0.005762,0.000003,0.005759,0.005767,0.005766,2.8436,Scalar
20480,0.007206,0.007206,0.000002,0.007204,0.007209,0.007209,2.8420,Scalar
24576,0.008649,0.008655,0.000013,0.008643,0.008673,0.008672,2.8415,Scalar
28672,0.010090,0.010090,0.000002,0.010088,0.010092,0.010092,2.8415,Scalar
32768,0.011537,0.011537,0.000001,0.011535,0.011538,0.011538,2.8401,Scalar
40960,0.014432,0.014431,0.000005,0.014425,0.014437,0.014437,2.8381,Scalar
49152,0.017325,0.017325,0.000003,0.017322,0.017329,0.017329,2.8371,Scalar
57344,0.020218,0.020217,0.000013,0.020201,0.020233,0.020233,2.8363,Scalar
65536,0.023168,0.023167,0.000003,0.023162,0.023170,0.023170,2.8287,Scalar
