array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000082,0.000082,0.000000,0.000082,0.000083,0.000083,6.2151,SSE2
1024,0.000173,0.000173,0.000001,0.000173,0.000175,0.000175,5.9199,SSE2
2048,0.000354,0.000355,0.000001,0.000354,0.000356,0.000356,5.7863,SSE2
4096,0.000720,0.000719,0.000008,0.000709,0.000729,0.000729,5.6922,SSE2
8192,0.001468,0.001465,0.000005,0.001457,0.001468,0.001468,5.5810,SSE2
12288,0.002179,0.002182,0.000010,0.002171,0.002196,0.002195,5.6402,SSE2
16384,0.002953,0.002952,0.000006,0.002944,0.002959,0.002959,5.5476,SSE2
20480,0.003656,0.003672,0.000024,0.003655,0.003706,0.003705,5.6018,SSE2
24576,0.004362,0.004373,0.000033,0.004339,0.004417,0.004416,5.6342,SSE2
28672,0.005067,0.005068,0.000001,0.005067,0.005070,0.005070,5.6581,SSE2
32768,0.005794,0.005797,0.000003,0.005794,0.005801,0.005801,5.6551,SSE2
40960,0.007243,0.007242,0.000001,0.007240,0.007243,0.007243,5.6553,SSE2
49152,0.008691,0.008692,0.000002,0.008690,0.008695,0.008694,5.6557,SSE2
57344,0.010141,0.010141,0.000002,0.010138,0.010143,0.010143,5.6545,SSE2
65536,0.011588,0.011586,0.000004,0.011581,0.011589,0.011589,5.6555,SSE2
