array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000082,0.000082,0.000000,0.000082,0.000083,0.000083,6.2572,SSE4.2
1024,0.000173,0.000173,0.000000,0.000172,0.000173,0.000173,5.9344,SSE4.2
2048,0.000342,0.000344,0.000003,0.000342,0.000348,0.000348,5.9821,SSE4.2
4096,0.000706,0.000708,0.000004,0.000704,0.000714,0.000714,5.8045,SSE4.2
8192,0.001431,0.001432,0.000002,0.001430,0.001435,0.001435,5.7256,SSE4.2
12288,0.002157,0.002156,0.000001,0.002155,0.002157,0.002157,5.6975,SSE4.2
16384,0.002883,0.002883,0.000001,0.002881,0.002884,0.002884,5.6820,SSE4.2
20480,0.003610,0.003609,0.000004,0.003605,0.003614,0.003613,5.6731,SSE4.2
24576,0.004335,0.004334,0.000002,0.004331,0.004337,0.004337,5.6694,SSE4.2
28672,0.005059,0.005058,0.000003,0.005053,0.005061,0.005061,5.6670,SSE4.2
32768,0.005790,0.005789,0.000004,0.005783,0.005793,0.005793,5.6595,SSE4.2
40960,0.007234,0.007236,0.000002,0.007234,0.007239,0.007239,5.6619,SSE4.2
49152,0.008681,0.008682,0.000002,0.008681,0.008684,0.008684,5.6619,SSE4.2
57344,0.010133,0.010134,0.000004,0.010130,0.010139,0.010139,5.6592,SSE4.2
65536,0.011598,0.011598,0.000001,0.011596,0.011599,0.011599,5.6508,SSE4.2
