array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000033,0.000033,0.000000,0.000033,0.000033,0.000033,15.3249,AVX
1024,0.000083,0.000080,0.000005,0.000073,0.000083,0.000083,12.4014,AVX
2048,0.000160,0.000160,0.000001,0.000160,0.000162,0.000161,12.8224,AVX
4096,0.000341,0.000342,0.000001,0.000341,0.000344,0.000344,12.0046,AVX
8192,0.000707,0.000708,0.000002,0.000706,0.000711,0.000711,11.5932,AVX
12288,0.001069,0.001069,0.000000,0.001069,0.001069,0.001069,11.4917,AVX
16384,0.001434,0.001434,0.000002,0.001431,0.001436,0.001436,11.4253,AVX
20480,0.001798,0.001797,0.000001,0.001795,0.001798,0.001798,11.3925,AVX
24576,0.002161,0.002161,0.000001,0.002159,0.002162,0.002162,11.3701,AVX
28672,0.002523,0.002523,0.000001,0.002522,0.002524,0.002524,11.3621,AVX
32768,0.002888,0.002888,0.000001,0.002887,0.002889,0.002889,11.3447,AVX
40960,0.003620,0.003620,0.000002,0.003617,0.003622,0.003622,11.3159,AVX
49152,0.004347,0.004347,0.000003,0.004344,0.004351,0.004351,11.3063,AVX
57344,0.005068,0.005067,0.000001,0.005066,0.005068,0.005068,11.3154,AVX
65536,0.005796,0.005796,0.000004,0.005791,0.005802,0.005802,11.3081,AVX
