array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000017,0.000017,0.000000,0.000017,0.000017,0.000017,30.0438,AVX-512F
1024,0.000034,0.000034,0.000000,0.000034,0.000034,0.000034,30.1302,AVX-512F
2048,0.000083,0.000083,0.000000,0.000082,0.000083,0.000083,24.6993,AVX-512F
4096,0.000171,0.000169,0.000004,0.000164,0.000173,0.000173,24.0014,AVX-512F
8192,0.000345,0.000346,0.000003,0.000343,0.000351,0.000351,23.7381,AVX-512F
12288,0.000528,0.000528,0.000001,0.000526,0.000529,0.000529,23.2676,AVX-512F
16384,0.000711,0.000710,0.000001,0.000708,0.000711,0.000711,23.0558,AVX-512F
20480,0.000893,0.000892,0.000001,0.000891,0.000893,0.000893,22.9382,AVX-512F
24576,0.001077,0.001077,0.000002,0.001074,0.001078,0.001078,22.8143,AVX-512F
28672,0.001259,0.001259,0.000001,0.001259,0.001260,0.001260,22.7730,AVX-512F
32768,0.001440,0.001441,0.000002,0.001439,0.001444,0.001444,22.7569,AVX-512F
40960,0.001806,0.001806,0.000002,0.001804,0.001807,0.001807,22.6742,AVX-512F
49152,0.002172,0.002172,0.000001,0.002170,0.002174,0.002174,22.6303,AVX-512F
57344,0.002539,0.002538,0.000002,0.002535,0.002539,0.002539,22.5869,AVX-512F
65536,0.002905,0.002906,0.000004,0.002902,0.002911,0.002910,22.5587,AVX-512F
