array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000161,0.000165,0.000007,0.000160,0.000174,0.000174,3.1841,Scalar
1024,0.000345,0.000345,0.000001,0.000344,0.000346,0.000346,2.9713,Scalar
2048,0.000709,0.000708,0.000002,0.000706,0.000710,0.000710,2.8887,Scalar
4096,0.001434,0.001436,0.000002,0.001434,0.001439,0.001439,2.8561,Scalar
8192,0.002892,0.002891,0.000002,0.002888,0.002892,0.002892,2.8330,Scalar
12288,0.004345,0.004345,0.000002,0.004343,0.004347,0.004347,2.8280,Scalar
16384,0.005800,0.005797,0.000005,0.005791,0.005802,0.005802,2.8250,Scalar
20480,0.007242,0.007244,0.000003,0.007241,0.007248,0.007248,2.8279,Scalar
24576,0.008702,0.008701,0.000002,0.008698,0.008704,0.008704,2.8240,Scalar
28672,0.010158,0.010161,0.000012,0.010149,0.010177,0.010177,2.8226,Scalar
32768,0.011605,0.011605,0.000001,0.011604,0.011606,0.011606,2.8235,Scalar
40960,0.014506,0.014507,0.000002,0.014505,0.014509,0.014509,2.8237,Scalar
49152,0.017435,0.017441,0.000010,0.017432,0.017455,0.017455,2.8192,Scalar
57344,0.020358,0.020354,0.000009,0.020341,0.020363,0.020363,2.8168,Scalar
65536,0.023253,0.023254,0.000013,0.023238,0.023271,0.023271,2.8183,Scalar
