array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000081,0.000082,0.000000,0.000081,0.000082,0.000082,6.2897,SSE2
1024,0.000172,0.000173,0.000001,0.000172,0.000174,0.000174,5.9436,SSE2
2048,0.000354,0.000355,0.000002,0.000353,0.000357,0.000357,5.7862,SSE2
4096,0.000707,0.000710,0.000006,0.000705,0.000718,0.000718,5.7951,SSE2
8192,0.001435,0.001435,0.000001,0.001433,0.001437,0.001437,5.7081,SSE2
12288,0.002163,0.002162,0.000001,0.002161,0.002163,0.002163,5.6814,SSE2
16384,0.002888,0.002889,0.000002,0.002887,0.002891,0.002891,5.6724,SSE2
20480,0.003611,0.003613,0.000004,0.003611,0.003619,0.003619,5.6722,SSE2
24576,0.004343,0.004343,0.000002,0.004341,0.004345,0.004345,5.6587,SSE2
28672,0.005070,0.005069,0.000002,0.005066,0.005070,0.005070,5.6553,SSE2
32768,0.005825,0.005821,0.000013,0.005803,0.005835,0.005835,5.6251,SSE2
40960,0.007259,0.007258,0.000005,0.007252,0.007264,0.007263,5.6427,SSE2
49152,0.008708,0.008706,0.000007,0.008697,0.008714,0.008714,5.6444,SSE2
57344,0.010206,0.010206,0.000045,0.010150,0.010261,0.010260,5.6185,SSE2
65536,0.011598,0.011601,0.000006,0.011596,0.011610,0.011610,5.6508,SSE2
