array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000082,0.000082,0.000000,0.000081,0.000082,0.000082,6.2787,SSE4.2
1024,0.000172,0.000173,0.000001,0.000172,0.000175,0.000175,5.9497,SSE4.2
2048,0.000348,0.000348,0.000004,0.000343,0.000353,0.000353,5.8807,SSE4.2
4096,0.000708,0.000708,0.000000,0.000708,0.000709,0.000709,5.7849,SSE4.2
8192,0.001432,0.001431,0.000001,0.001430,0.001433,0.001433,5.7226,SSE4.2
12288,0.002156,0.002156,0.000001,0.002155,0.002157,0.002157,5.7000,SSE4.2
16384,0.002880,0.002882,0.000004,0.002879,0.002887,0.002887,5.6885,SSE4.2
20480,0.003608,0.003608,0.000001,0.003607,0.003610,0.003610,5.6766,SSE4.2
24576,0.004334,0.004334,0.000002,0.004332,0.004337,0.004337,5.6703,SSE4.2
28672,0.005070,0.005070,0.000002,0.005066,0.005072,0.005072,5.6547,SSE4.2
32768,0.005823,0.005822,0.000009,0.005810,0.005832,0.005832,5.6272,SSE4.2
40960,0.007262,0.007263,0.000002,0.007260,0.007266,0.007266,5.6400,SSE4.2
49152,0.008713,0.008714,0.000003,0.008711,0.008717,0.008717,5.6412,SSE4.2
57344,0.010163,0.010162,0.000005,0.010155,0.010168,0.010168,5.6422,SSE4.2
65536,0.011611,0.011609,0.000003,0.011604,0.011611,0.011611,5.6442,SSE4.2
