array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000012,0.000012,0.000000,0.000012,0.000012,0.000012,41.4313,AVX
1024,0.000024,0.000024,0.000000,0.000024,0.000024,0.000024,42.3039,AVX
2048,0.000064,0.000064,0.000000,0.000063,0.000064,0.000064,32.2045,AVX
4096,0.000123,0.000123,0.000000,0.000123,0.000124,0.000124,33.1786,AVX
8192,0.000392,0.000391,0.000005,0.000384,0.000396,0.000396,20.8717,AVX
12288,0.000575,0.000575,0.000002,0.000574,0.000578,0.000578,21.3782,AVX
16384,0.000764,0.000763,0.000002,0.000760,0.000765,0.000765,21.4436,AVX
20480,0.000949,0.000949,0.000001,0.000947,0.000950,0.000950,21.5785,AVX
24576,0.001139,0.001140,0.000001,0.001139,0.001141,0.001141,21.5693,AVX
28672,0.001329,0.001329,0.000002,0.001327,0.001332,0.001331,21.5706,AVX
32768,0.001339,0.001352,0.000019,0.001337,0.001379,0.001378,24.4652,AVX
40960,0.001608,0.001605,0.000004,0.001599,0.001608,0.001608,25.4787,AVX
49152,0.001913,0.001914,0.000003,0.001911,0.001918,0.001918,25.6884,AVX
57344,0.002241,0.002241,0.000002,0.002238,0.002243,0.002243,25.5872,AVX
65536,0.002916,0.002920,0.000011,0.002908,0.002934,0.002934,22.4714,AVX
