array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000103,0.000105,0.000005,0.000101,0.000112,0.000111,4.9917,Scalar
1024,0.000199,0.000199,0.000000,0.000198,0.000199,0.000199,5.1499,Scalar
2048,0.000394,0.000395,0.000001,0.000394,0.000396,0.000396,5.1975,Scalar
4096,0.000756,0.000759,0.000007,0.000752,0.000769,0.000769,5.4162,Scalar
8192,0.001585,0.001585,0.000001,0.001583,0.001586,0.001586,5.1686,Scalar
12288,0.002367,0.002367,0.000001,0.002366,0.002367,0.002367,5.1914,Scalar
16384,0.003092,0.003092,0.000002,0.003090,0.003094,0.003094,5.2980,Scalar
20480,0.003948,0.003947,0.000003,0.003943,0.003949,0.003949,5.1870,Scalar
24576,0.004737,0.004735,0.000003,0.004731,0.004737,0.004737,5.1886,Scalar
28672,0.005669,0.005668,0.000003,0.005664,0.005670,0.005670,5.0580,Scalar
32768,0.006199,0.006202,0.000010,0.006192,0.006216,0.006216,5.2864,Scalar
40960,0.007722,0.007720,0.000008,0.007710,0.007728,0.007728,5.3042,Scalar
49152,0.009261,0.009260,0.000004,0.009255,0.009265,0.009265,5.3076,Scalar
57344,0.010855,0.010857,0.000005,0.010854,0.010864,0.010864,5.2829,Scalar
65536,0.012393,0.012391,0.000006,0.012384,0.012397,0.012397,5.2880,Scalar
