array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000025,0.000025,0.000000,0.000024,0.000025,0.000025,20.5608,SSE2
1024,0.000051,0.000051,0.000000,0.000051,0.000052,0.000052,20.0330,SSE2
2048,0.000097,0.000097,0.000001,0.000096,0.000097,0.000097,21.1988,SSE2
4096,0.000217,0.000218,0.000001,0.000217,0.000220,0.000220,18.8811,SSE2
8192,0.000493,0.000495,0.000002,0.000493,0.000498,0.000498,16.6021,SSE2
12288,0.000697,0.000689,0.000027,0.000654,0.000717,0.000717,17.6405,SSE2
16384,0.000943,0.000942,0.000001,0.000940,0.000943,0.000943,17.3721,SSE2
20480,0.001112,0.001112,0.000001,0.001112,0.001113,0.001113,18.4195,SSE2
24576,0.001382,0.001381,0.000001,0.001380,0.001382,0.001382,17.7834,SSE2
28672,0.001611,0.001611,0.000001,0.001610,0.001613,0.001612,17.8004,SSE2
32768,0.001749,0.001750,0.000003,0.001747,0.001755,0.001755,18.7371,SSE2
40960,0.002182,0.002183,0.000003,0.002181,0.002187,0.002187,18.7756,SSE2
49152,0.002623,0.002622,0.000002,0.002620,0.002624,0.002624,18.7421,SSE2
57344,0.003089,0.003090,0.000002,0.003089,0.003093,0.003093,18.5623,SSE2
65536,0.003554,0.003554,0.000008,0.003544,0.003563,0.003563,18.4397,SSE2
