array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000024,0.000025,0.000001,0.000024,0.000026,0.000025,21.0251,SSE4.2
1024,0.000071,0.000071,0.000000,0.000071,0.000072,0.000072,14.4218,SSE4.2
2048,0.000118,0.000119,0.000000,0.000118,0.000119,0.000119,17.2942,SSE4.2
4096,0.000244,0.000244,0.000002,0.000241,0.000247,0.000247,16.8022,SSE4.2
8192,0.000488,0.000489,0.000008,0.000481,0.000500,0.000499,16.7904,SSE4.2
12288,0.000759,0.000758,0.000001,0.000757,0.000759,0.000759,16.1997,SSE4.2
16384,0.000958,0.000959,0.000002,0.000957,0.000962,0.000962,17.0967,SSE4.2
20480,0.001111,0.001113,0.000004,0.001109,0.001119,0.001119,18.4266,SSE4.2
24576,0.001363,0.001361,0.000003,0.001357,0.001364,0.001364,18.0257,SSE4.2
28672,0.001572,0.001571,0.000004,0.001566,0.001576,0.001576,18.2388,SSE4.2
32768,0.001763,0.001759,0.000006,0.001750,0.001763,0.001763,18.5863,SSE4.2
40960,0.002188,0.002187,0.000002,0.002184,0.002189,0.002189,18.7187,SSE4.2
49152,0.002618,0.002617,0.000003,0.002614,0.002620,0.002620,18.7720,SSE4.2
57344,0.003055,0.003054,0.000002,0.003052,0.003056,0.003056,18.7707,SSE4.2
65536,0.003631,0.003628,0.000004,0.003621,0.003631,0.003631,18.0505,SSE4.2
