array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.016085,0.016091,0.000014,0.016079,0.016110,0.016110,0.0318,AVX
1024,0.016197,0.016194,0.000007,0.016184,0.016200,0.016200,0.0632,AVX
2048,0.016363,0.016358,0.000007,0.016348,0.016364,0.016364,0.1252,AVX
4096,0.016689,0.016687,0.000006,0.016679,0.016693,0.016692,0.2454,AVX
8192,0.017413,0.017422,0.000014,0.017412,0.017442,0.017442,0.4705,AVX
12288,0.018174,0.018182,0.000035,0.018145,0.018229,0.018228,0.6761,AVX
16384,0.018907,0.018929,0.000031,0.018906,0.018973,0.018972,0.8666,AVX
20480,0.019665,0.019660,0.000014,0.019641,0.019674,0.019674,1.0414,AVX
24576,0.020390,0.020385,0.000016,0.020362,0.020401,0.020401,1.2053,AVX
28672,0.021107,0.021109,0.000007,0.021102,0.021119,0.021118,1.3584,AVX
32768,0.021869,0.021861,0.000019,0.021835,0.021878,0.021878,1.4984,AVX
40960,0.023450,0.023429,0.000032,0.023383,0.023453,0.023453,1.7467,AVX
49152,0.024956,0.024962,0.000031,0.024927,0.025002,0.025001,1.9696,AVX
57344,0.026412,0.026409,0.000027,0.026374,0.026439,0.026439,2.1711,AVX
65536,0.027962,0.027959,0.000006,0.027951,0.027964,0.027964,2.3437,AVX
