array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.016103,0.016106,0.000022,0.016079,0.016134,0.016134,0.0318,AVX2
1024,0.016196,0.016186,0.000021,0.016156,0.016205,0.016205,0.0632,AVX2
2048,0.016291,0.016295,0.000009,0.016288,0.016307,0.016307,0.1257,AVX2
4096,0.016655,0.016662,0.000013,0.016650,0.016681,0.016680,0.2459,AVX2
8192,0.017385,0.017385,0.000005,0.017379,0.017391,0.017390,0.4712,AVX2
12288,0.018138,0.018134,0.000010,0.018120,0.018145,0.018145,0.6775,AVX2
16384,0.018903,0.018899,0.000009,0.018887,0.018908,0.018908,0.8667,AVX2
20480,0.019609,0.019613,0.000012,0.019602,0.019629,0.019629,1.0444,AVX2
24576,0.020355,0.020349,0.000008,0.020338,0.020355,0.020355,1.2074,AVX2
28672,0.021103,0.021096,0.000012,0.021079,0.021106,0.021105,1.3586,AVX2
32768,0.021954,0.021921,0.000068,0.021826,0.021983,0.021982,1.4926,AVX2
40960,0.023383,0.023384,0.000023,0.023356,0.023414,0.023413,1.7517,AVX2
49152,0.024857,0.024861,0.000011,0.024849,0.024876,0.024876,1.9774,AVX2
57344,0.026331,0.026326,0.000023,0.026296,0.026350,0.026350,2.1778,AVX2
65536,0.027823,0.027828,0.000016,0.027811,0.027850,0.027849,2.3554,AVX2
