array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.012011,0.012001,0.000041,0.011946,0.012045,0.012045,0.0426,AVX-512F
1024,0.012022,0.012024,0.000010,0.012013,0.012037,0.012037,0.0852,AVX-512F
2048,0.012219,0.012222,0.000005,0.012218,0.012228,0.012228,0.1676,AVX-512F
4096,0.012601,0.012605,0.000006,0.012599,0.012613,0.012613,0.3251,AVX-512F
8192,0.013349,0.013349,0.000002,0.013346,0.013352,0.013352,0.6137,AVX-512F
12288,0.014078,0.014083,0.000010,0.014074,0.014097,0.014096,0.8728,AVX-512F
16384,0.014780,0.014785,0.000007,0.014780,0.014796,0.014795,1.1085,AVX-512F
20480,0.015530,0.015528,0.000010,0.015514,0.015539,0.015539,1.3188,AVX-512F
24576,0.016264,0.016266,0.000005,0.016261,0.016273,0.016273,1.5110,AVX-512F
28672,0.016999,0.016999,0.000007,0.016992,0.017008,0.017008,1.6867,AVX-512F
32768,0.017866,0.017865,0.000002,0.017862,0.017867,0.017867,1.8341,AVX-512F
40960,0.019348,0.019344,0.000007,0.019335,0.019350,0.019350,2.1170,AVX-512F
49152,0.020893,0.020890,0.000010,0.020876,0.020901,0.020901,2.3526,AVX-512F
57344,0.022382,0.022380,0.000002,0.022377,0.022382,0.022382,2.5621,AVX-512F
65536,0.023728,0.023726,0.000006,0.023718,0.023733,0.023733,2.7620,AVX-512F
