array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.015067,0.015099,0.000071,0.015032,0.015197,0.015195,0.0340,Scalar
1024,0.015035,0.015053,0.000053,0.014999,0.015124,0.015123,0.0681,Scalar
2048,0.015362,0.015417,0.000088,0.015348,0.015541,0.015537,0.1333,Scalar
4096,0.015547,0.015636,0.000139,0.015529,0.015832,0.015826,0.2635,Scalar
8192,0.016266,0.016281,0.000035,0.016248,0.016330,0.016328,0.5036,Scalar
12288,0.017070,0.017148,0.000144,0.017025,0.017350,0.017345,0.7199,Scalar
16384,0.017749,0.017784,0.000078,0.017711,0.017892,0.017890,0.9231,Scalar
20480,0.018545,0.018553,0.000040,0.018509,0.018606,0.018605,1.1044,Scalar
24576,0.019376,0.019404,0.000040,0.019375,0.019460,0.019459,1.2684,Scalar
28672,0.020227,0.020219,0.000105,0.020087,0.020343,0.020341,1.4175,Scalar
32768,0.021113,0.021238,0.000199,0.021082,0.021519,0.021511,1.5520,Scalar
40960,0.022447,0.022431,0.000063,0.022347,0.022499,0.022498,1.8247,Scalar
49152,0.023826,0.023886,0.000087,0.023823,0.024008,0.024005,2.0630,Scalar
57344,0.025500,0.025458,0.000105,0.025313,0.025560,0.025559,2.2488,Scalar
65536,0.026877,0.026901,0.000037,0.026871,0.026953,0.026952,2.4384,Scalar
