array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.026967,0.026965,0.000003,0.026961,0.026968,0.026968,0.0190,SSE2
1024,0.027054,0.027060,0.000012,0.027050,0.027078,0.027077,0.0379,SSE2
2048,0.027235,0.027234,0.000012,0.027219,0.027249,0.027248,0.0752,SSE2
4096,0.027558,0.027560,0.000012,0.027546,0.027576,0.027575,0.1486,SSE2
8192,0.028314,0.028312,0.000006,0.028305,0.028318,0.028318,0.2893,SSE2
12288,0.029054,0.029064,0.000018,0.029049,0.029088,0.029088,0.4229,SSE2
16384,0.029800,0.029797,0.000012,0.029781,0.029811,0.029811,0.5498,SSE2
20480,0.030516,0.030519,0.000007,0.030513,0.030529,0.030529,0.6711,SSE2
24576,0.031217,0.031224,0.000018,0.031206,0.031249,0.031248,0.7873,SSE2
28672,0.031969,0.031965,0.000008,0.031955,0.031972,0.031972,0.8969,SSE2
32768,0.032718,0.032716,0.000024,0.032686,0.032744,0.032744,1.0015,SSE2
40960,0.034185,0.034179,0.000028,0.034142,0.034211,0.034210,1.1982,SSE2
49152,0.035682,0.035683,0.000002,0.035681,0.035685,0.035685,1.3775,SSE2
57344,0.038265,0.038366,0.000408,0.037924,0.038909,0.038896,1.4986,SSE2
65536,0.039432,0.039449,0.000068,0.039376,0.039539,0.039537,1.6620,SSE2
