array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.027273,0.027284,0.000021,0.027266,0.027314,0.027314,0.0188,SSE4.2
1024,0.027371,0.027370,0.000013,0.027354,0.027386,0.027386,0.0374,SSE4.2
2048,0.027181,0.027240,0.000089,0.027172,0.027366,0.027362,0.0753,SSE4.2
4096,0.027550,0.027555,0.000008,0.027548,0.027566,0.027566,0.1487,SSE4.2
8192,0.028300,0.028299,0.000016,0.028278,0.028318,0.028317,0.2895,SSE4.2
12288,0.029017,0.029013,0.000014,0.028993,0.029028,0.029027,0.4235,SSE4.2
16384,0.029757,0.029750,0.000012,0.029734,0.029760,0.029760,0.5506,SSE4.2
20480,0.030501,0.030503,0.000012,0.030490,0.030518,0.030518,0.6715,SSE4.2
24576,0.031200,0.031206,0.000014,0.031192,0.031225,0.031225,0.7877,SSE4.2
28672,0.032006,0.031989,0.000036,0.031939,0.032023,0.032023,0.8958,SSE4.2
32768,0.032707,0.032722,0.000026,0.032702,0.032758,0.032757,1.0019,SSE4.2
40960,0.034207,0.034204,0.000027,0.034169,0.034236,0.034235,1.1974,SSE4.2
49152,0.036193,0.036047,0.000299,0.035629,0.036318,0.036315,1.3581,SSE4.2
57344,0.038112,0.038022,0.000127,0.037842,0.038112,0.038112,1.5046,SSE4.2
65536,0.039582,0.039636,0.000154,0.039480,0.039845,0.039840,1.6557,SSE4.2
