array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000074,0.000074,0.000000,0.000073,0.000074,0.000074,6.9233,AVX
1024,0.000143,0.000143,0.000001,0.000141,0.000145,0.000145,7.1787,AVX
2048,0.000280,0.000280,0.000001,0.000279,0.000281,0.000281,7.3165,AVX
4096,0.000557,0.000557,0.000003,0.000554,0.000561,0.000561,7.3585,AVX
8192,0.001109,0.001109,0.000001,0.001108,0.001110,0.001110,7.3863,AVX
12288,0.001662,0.001661,0.000002,0.001657,0.001663,0.001663,7.3945,AVX
16384,0.002211,0.002213,0.000002,0.002211,0.002216,0.002216,7.4086,AVX
20480,0.002768,0.002776,0.000015,0.002763,0.002798,0.002797,7.3976,AVX
24576,0.003317,0.003318,0.000003,0.003316,0.003323,0.003322,7.4094,AVX
28672,0.003875,0.003875,0.000004,0.003870,0.003879,0.003879,7.3988,AVX
32768,0.004431,0.004431,0.000002,0.004429,0.004434,0.004434,7.3947,AVX
40960,0.005527,0.005526,0.000003,0.005521,0.005529,0.005529,7.4108,AVX
49152,0.006633,0.006634,0.000002,0.006632,0.006636,0.006636,7.4104,AVX
57344,0.007737,0.007743,0.000008,0.007737,0.007755,0.007754,7.4112,AVX
65536,0.008844,0.008843,0.000002,0.008840,0.008845,0.008845,7.4104,AVX
