array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000074,0.000074,0.000001,0.000074,0.000075,0.000075,6.9368,AVX2
1024,0.000143,0.000143,0.000001,0.000142,0.000145,0.000145,7.1560,AVX2
2048,0.000281,0.000282,0.000001,0.000281,0.000284,0.000284,7.2812,AVX2
4096,0.000557,0.000559,0.000002,0.000557,0.000562,0.000562,7.3529,AVX2
8192,0.001111,0.001112,0.000001,0.001111,0.001112,0.001112,7.3728,AVX2
12288,0.001660,0.001663,0.000004,0.001659,0.001669,0.001668,7.4018,AVX2
16384,0.002213,0.002217,0.000009,0.002209,0.002230,0.002229,7.4029,AVX2
20480,0.002767,0.002767,0.000001,0.002765,0.002768,0.002768,7.4022,AVX2
24576,0.003319,0.003322,0.000006,0.003316,0.003331,0.003331,7.4048,AVX2
28672,0.003870,0.003871,0.000002,0.003870,0.003874,0.003874,7.4093,AVX2
32768,0.004424,0.004424,0.000001,0.004422,0.004425,0.004425,7.4071,AVX2
40960,0.005531,0.005530,0.000002,0.005528,0.005532,0.005532,7.4056,AVX2
49152,0.006634,0.006634,0.000003,0.006631,0.006638,0.006638,7.4095,AVX2
57344,0.007740,0.007740,0.000003,0.007736,0.007743,0.007743,7.4090,AVX2
65536,0.008848,0.008849,0.000003,0.008846,0.008853,0.008853,7.4066,AVX2
