array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000076,0.000076,0.000001,0.000075,0.000078,0.000078,6.7125,AVX-512F
1024,0.000139,0.000141,0.000006,0.000134,0.000149,0.000149,7.3728,AVX-512F
2048,0.000282,0.000282,0.000001,0.000281,0.000283,0.000283,7.2614,AVX-512F
4096,0.000575,0.000577,0.000003,0.000574,0.000581,0.000581,7.1221,AVX-512F
8192,0.001167,0.001168,0.000003,0.001165,0.001171,0.001171,7.0195,AVX-512F
12288,0.001752,0.001751,0.000001,0.001749,0.001752,0.001752,7.0156,AVX-512F
16384,0.002350,0.002349,0.000004,0.002343,0.002353,0.002353,6.9729,AVX-512F
20480,0.002925,0.002925,0.000003,0.002921,0.002927,0.002927,7.0010,AVX-512F
24576,0.003515,0.003514,0.000003,0.003509,0.003516,0.003516,6.9915,AVX-512F
28672,0.004104,0.004104,0.000003,0.004100,0.004107,0.004107,6.9870,AVX-512F
32768,0.004680,0.004681,0.000005,0.004676,0.004688,0.004688,7.0013,AVX-512F
40960,0.005859,0.005861,0.000003,0.005858,0.005864,0.005864,6.9905,AVX-512F
49152,0.007030,0.007036,0.000011,0.007027,0.007051,0.007051,6.9917,AVX-512F
57344,0.008207,0.008206,0.000006,0.008198,0.008211,0.008211,6.9871,AVX-512F
65536,0.009376,0.009377,0.000001,0.009376,0.009379,0.009379,6.9895,AVX-512F
