array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000209,0.000210,0.000002,0.000208,0.000212,0.000212,2.4496,Scalar
1024,0.000416,0.000417,0.000001,0.000416,0.000418,0.000418,2.4593,Scalar
2048,0.000831,0.000833,0.000004,0.000830,0.000839,0.000839,2.4643,Scalar
4096,0.001655,0.001655,0.000000,0.001654,0.001655,0.001655,2.4756,Scalar
8192,0.003309,0.003309,0.000001,0.003307,0.003310,0.003310,2.4757,Scalar
12288,0.004963,0.004963,0.000003,0.004959,0.004966,0.004966,2.4757,Scalar
16384,0.006614,0.006616,0.000003,0.006613,0.006620,0.006620,2.4770,Scalar
20480,0.008259,0.008261,0.000004,0.008257,0.008266,0.008266,2.4798,Scalar
24576,0.009909,0.009910,0.000001,0.009909,0.009912,0.009912,2.4801,Scalar
28672,0.011575,0.011576,0.000004,0.011572,0.011581,0.011581,2.4771,Scalar
32768,0.013234,0.013234,0.000001,0.013233,0.013235,0.013235,2.4760,Scalar
40960,0.016535,0.016537,0.000009,0.016527,0.016548,0.016548,2.4772,Scalar
49152,0.019837,0.019837,0.000003,0.019833,0.019841,0.019841,2.4778,Scalar
57344,0.023123,0.023126,0.000006,0.023121,0.023135,0.023134,2.4800,Scalar
65536,0.026446,0.026447,0.000018,0.026425,0.026470,0.026469,2.4781,Scalar
