array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000210,0.000211,0.000002,0.000209,0.000214,0.000214,2.4369,SSE2
1024,0.000417,0.000418,0.000002,0.000415,0.000420,0.000420,2.4541,SSE2
2048,0.000829,0.000832,0.000003,0.000829,0.000836,0.000836,2.4695,SSE2
4096,0.001652,0.001654,0.000002,0.001652,0.001656,0.001656,2.4789,SSE2
8192,0.003314,0.003318,0.000007,0.003312,0.003327,0.003327,2.4720,SSE2
12288,0.004973,0.004971,0.000003,0.004967,0.004974,0.004974,2.4711,SSE2
16384,0.006621,0.006621,0.000001,0.006619,0.006623,0.006622,2.4746,SSE2
20480,0.008272,0.008273,0.000002,0.008271,0.008276,0.008276,2.4758,SSE2
24576,0.009928,0.009930,0.000004,0.009926,0.009936,0.009936,2.4754,SSE2
28672,0.011586,0.011585,0.000004,0.011580,0.011589,0.011589,2.4748,SSE2
32768,0.013220,0.013220,0.000006,0.013212,0.013227,0.013226,2.4786,SSE2
40960,0.016537,0.016536,0.000005,0.016529,0.016542,0.016542,2.4769,SSE2
49152,0.019844,0.019844,0.000003,0.019841,0.019847,0.019847,2.4770,SSE2
57344,0.023150,0.023157,0.000010,0.023149,0.023171,0.023171,2.4770,SSE2
65536,0.026494,0.026492,0.000004,0.026487,0.026496,0.026496,2.4736,SSE2
