array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000210,0.000210,0.000001,0.000209,0.000211,0.000211,2.4367,SSE4.2
1024,0.000418,0.000418,0.000002,0.000416,0.000420,0.000420,2.4519,SSE4.2
2048,0.000830,0.000830,0.000001,0.000828,0.000832,0.000832,2.4683,SSE4.2
4096,0.001655,0.001656,0.000004,0.001652,0.001661,0.001661,2.4755,SSE4.2
8192,0.003306,0.003306,0.000001,0.003304,0.003307,0.003307,2.4776,SSE4.2
12288,0.004961,0.004962,0.000001,0.004961,0.004964,0.004964,2.4769,SSE4.2
16384,0.006613,0.006612,0.000002,0.006609,0.006613,0.006613,2.4776,SSE4.2
20480,0.008265,0.008265,0.000003,0.008262,0.008269,0.008269,2.4779,SSE4.2
24576,0.009915,0.009912,0.000004,0.009907,0.009915,0.009915,2.4787,SSE4.2
28672,0.011564,0.011564,0.000002,0.011561,0.011565,0.011565,2.4793,SSE4.2
32768,0.013218,0.013218,0.000002,0.013216,0.013221,0.013221,2.4791,SSE4.2
40960,0.016522,0.016522,0.000002,0.016519,0.016524,0.016524,2.4791,SSE4.2
49152,0.019832,0.019829,0.000005,0.019823,0.019834,0.019834,2.4784,SSE4.2
57344,0.023132,0.023134,0.000004,0.023130,0.023140,0.023140,2.4790,SSE4.2
65536,0.026453,0.026454,0.000003,0.026451,0.026458,0.026458,2.4775,SSE4.2
