array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000013,0.000013,0.000000,0.000013,0.000013,0.000013,40.9142,AVX
1024,0.000024,0.000024,0.000000,0.000024,0.000024,0.000024,41.8578,AVX
2048,0.000066,0.000066,0.000000,0.000066,0.000067,0.000067,31.1239,AVX
4096,0.000136,0.000135,0.000000,0.000135,0.000136,0.000136,30.1916,AVX
8192,0.000389,0.000389,0.000001,0.000388,0.000391,0.000391,21.0829,AVX
12288,0.000580,0.000583,0.000004,0.000579,0.000589,0.000588,21.1838,AVX
16384,0.000771,0.000771,0.000002,0.000769,0.000774,0.000774,21.2393,AVX
20480,0.000954,0.000955,0.000003,0.000952,0.000958,0.000958,21.4707,AVX
24576,0.001136,0.001137,0.000002,0.001136,0.001139,0.001139,21.6283,AVX
28672,0.001326,0.001327,0.000002,0.001325,0.001330,0.001330,21.6161,AVX
32768,0.001335,0.001366,0.000053,0.001323,0.001441,0.001439,24.5456,AVX
40960,0.001610,0.001618,0.000027,0.001589,0.001655,0.001654,25.4354,AVX
49152,0.001918,0.001916,0.000006,0.001907,0.001922,0.001922,25.6270,AVX
57344,0.002231,0.002237,0.000024,0.002211,0.002269,0.002268,25.6977,AVX
65536,0.002726,0.002730,0.000013,0.002716,0.002747,0.002746,24.0407,AVX
