array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000012,0.000013,0.000001,0.000012,0.000013,0.000013,41.4045,AVX2
1024,0.000024,0.000024,0.000000,0.000024,0.000024,0.000024,42.3669,AVX2
2048,0.000056,0.000058,0.000004,0.000055,0.000063,0.000063,36.4247,AVX2
4096,0.000110,0.000109,0.000001,0.000107,0.000110,0.000110,37.4039,AVX2
8192,0.000386,0.000386,0.000002,0.000383,0.000389,0.000389,21.2431,AVX2
12288,0.000575,0.000576,0.000002,0.000574,0.000579,0.000579,21.3586,AVX2
16384,0.000761,0.000761,0.000001,0.000760,0.000762,0.000762,21.5228,AVX2
20480,0.000949,0.000950,0.000003,0.000947,0.000954,0.000954,21.5858,AVX2
24576,0.001136,0.001137,0.000001,0.001136,0.001138,0.001138,21.6247,AVX2
28672,0.001327,0.001326,0.000001,0.001325,0.001327,0.001327,21.6102,AVX2
32768,0.001329,0.001337,0.000047,0.001284,0.001397,0.001396,24.6479,AVX2
40960,0.001592,0.001608,0.000024,0.001591,0.001642,0.001641,25.7354,AVX2
49152,0.001903,0.001906,0.000006,0.001901,0.001915,0.001915,25.8220,AVX2
57344,0.002219,0.002218,0.000001,0.002217,0.002219,0.002219,25.8453,AVX2
65536,0.002765,0.002760,0.000007,0.002750,0.002766,0.002766,23.7055,AVX2
