array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000009,0.000009,0.000000,0.000009,0.000009,0.000009,58.9862,AVX-512F
1024,0.000019,0.000019,0.000001,0.000019,0.000020,0.000020,54.7717,AVX-512F
2048,0.000038,0.000038,0.000000,0.000038,0.000038,0.000038,54.2980,AVX-512F
4096,0.000080,0.000080,0.000000,0.000080,0.000081,0.000081,51.1595,AVX-512F
8192,0.000384,0.000384,0.000002,0.000382,0.000386,0.000386,21.3255,AVX-512F
12288,0.000576,0.000577,0.000002,0.000575,0.000579,0.000579,21.3444,AVX-512F
16384,0.000758,0.000758,0.000002,0.000756,0.000761,0.000761,21.6007,AVX-512F
20480,0.000942,0.000941,0.000003,0.000937,0.000943,0.000943,21.7439,AVX-512F
24576,0.001124,0.001123,0.000001,0.001122,0.001125,0.001125,21.8650,AVX-512F
28672,0.001237,0.001237,0.000012,0.001221,0.001252,0.001251,23.1711,AVX-512F
32768,0.001326,0.001326,0.000004,0.001322,0.001331,0.001331,24.7123,AVX-512F
40960,0.001640,0.001645,0.000011,0.001636,0.001661,0.001660,24.9824,AVX-512F
49152,0.001998,0.001995,0.000020,0.001969,0.002019,0.002018,24.6025,AVX-512F
57344,0.002205,0.002203,0.000004,0.002198,0.002207,0.002207,26.0118,AVX-512F
65536,0.002602,0.002607,0.000011,0.002597,0.002623,0.002622,25.1890,AVX-512F
