array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000112,0.000112,0.000000,0.000112,0.000112,0.000112,4.5701,Scalar
1024,0.000204,0.000202,0.000002,0.000200,0.000204,0.000204,5.0276,Scalar
2048,0.000396,0.000396,0.000002,0.000394,0.000398,0.000398,5.1773,Scalar
4096,0.000830,0.000831,0.000003,0.000827,0.000835,0.000835,4.9323,Scalar
8192,0.001577,0.001576,0.000005,0.001569,0.001581,0.001581,5.1950,Scalar
12288,0.002373,0.002380,0.000015,0.002365,0.002400,0.002400,5.1772,Scalar
16384,0.003224,0.003224,0.000001,0.003223,0.003225,0.003225,5.0824,Scalar
20480,0.003965,0.003966,0.000001,0.003965,0.003968,0.003968,5.1647,Scalar
24576,0.004664,0.004666,0.000005,0.004661,0.004673,0.004673,5.2693,Scalar
28672,0.005609,0.005608,0.000004,0.005602,0.005613,0.005613,5.1122,Scalar
32768,0.006210,0.006212,0.000002,0.006210,0.006215,0.006215,5.2765,Scalar
40960,0.007727,0.007739,0.000017,0.007727,0.007763,0.007762,5.3008,Scalar
49152,0.009271,0.009269,0.000005,0.009263,0.009274,0.009274,5.3019,Scalar
57344,0.010813,0.010811,0.000003,0.010808,0.010813,0.010813,5.3033,Scalar
65536,0.012384,0.012387,0.000007,0.012380,0.012397,0.012397,5.2920,Scalar
