array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000025,0.000025,0.000000,0.000025,0.000026,0.000026,20.1434,SSE2
1024,0.000061,0.000059,0.000004,0.000053,0.000062,0.000062,16.7678,SSE2
2048,0.000097,0.000097,0.000001,0.000096,0.000098,0.000098,21.0498,SSE2
4096,0.000217,0.000218,0.000002,0.000216,0.000221,0.000221,18.8954,SSE2
8192,0.000481,0.000482,0.000002,0.000479,0.000485,0.000485,17.0261,SSE2
12288,0.000716,0.000718,0.000004,0.000713,0.000723,0.000723,17.1522,SSE2
16384,0.000918,0.000917,0.000002,0.000915,0.000918,0.000918,17.8454,SSE2
20480,0.001132,0.001131,0.000001,0.001130,0.001132,0.001132,18.0997,SSE2
24576,0.001374,0.001430,0.000080,0.001374,0.001544,0.001540,17.8838,SSE2
28672,0.001936,0.001932,0.000009,0.001919,0.001940,0.001940,14.8105,SSE2
32768,0.001785,0.001922,0.000207,0.001767,0.002214,0.002206,18.3601,SSE2
40960,0.002182,0.002183,0.000008,0.002174,0.002192,0.002192,18.7705,SSE2
49152,0.002609,0.002610,0.000001,0.002609,0.002611,0.002611,18.8374,SSE2
57344,0.003090,0.003089,0.000001,0.003088,0.003090,0.003090,18.5585,SSE2
65536,0.003589,0.003587,0.000003,0.003583,0.003590,0.003590,18.2603,SSE2
