array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000024,0.000024,0.000000,0.000024,0.000024,0.000024,21.0684,SSE4.2
1024,0.000064,0.000065,0.000000,0.000064,0.000065,0.000065,15.8978,SSE4.2
2048,0.000111,0.000111,0.000000,0.000110,0.000111,0.000111,18.4393,SSE4.2
4096,0.000246,0.000247,0.000004,0.000242,0.000253,0.000252,16.6791,SSE4.2
8192,0.000438,0.000438,0.000003,0.000435,0.000443,0.000442,18.7057,SSE4.2
12288,0.000654,0.000654,0.000001,0.000652,0.000655,0.000655,18.8030,SSE4.2
16384,0.000915,0.000917,0.000004,0.000913,0.000923,0.000923,17.9072,SSE4.2
20480,0.001133,0.001135,0.000004,0.001132,0.001140,0.001140,18.0779,SSE4.2
24576,0.001372,0.001373,0.000003,0.001370,0.001378,0.001378,17.9101,SSE4.2
28672,0.001632,0.001634,0.000005,0.001629,0.001641,0.001641,17.5716,SSE4.2
32768,0.001845,0.001857,0.000018,0.001843,0.001882,0.001881,17.7635,SSE4.2
40960,0.002175,0.002175,0.000002,0.002173,0.002178,0.002178,18.8291,SSE4.2
49152,0.002604,0.002607,0.000007,0.002601,0.002617,0.002617,18.8784,SSE4.2
57344,0.003058,0.003095,0.000062,0.003044,0.003182,0.003179,18.7499,SSE4.2
65536,0.003756,0.003906,0.000232,0.003729,0.004233,0.004224,17.4502,SSE4.2
