array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000033,0.000034,0.000000,0.000033,0.000034,0.000034,15.3084,AVX
1024,0.000083,0.000083,0.000001,0.000082,0.000084,0.000083,12.3804,AVX
2048,0.000162,0.000165,0.000006,0.000161,0.000173,0.000173,12.6419,AVX
4096,0.000341,0.000343,0.000002,0.000341,0.000345,0.000345,11.9984,AVX
8192,0.000706,0.000708,0.000003,0.000706,0.000712,0.000712,11.5975,AVX
12288,0.001068,0.001069,0.000001,0.001068,0.001070,0.001070,11.5037,AVX
16384,0.001433,0.001433,0.000000,0.001433,0.001433,0.001433,11.4310,AVX
20480,0.001799,0.001798,0.000002,0.001795,0.001800,0.001800,11.3811,AVX
24576,0.002162,0.002161,0.000002,0.002159,0.002162,0.002162,11.3693,AVX
28672,0.002526,0.002525,0.000001,0.002523,0.002526,0.002526,11.3524,AVX
32768,0.002886,0.002888,0.000004,0.002883,0.002894,0.002894,11.3542,AVX
40960,0.003616,0.003615,0.000003,0.003611,0.003619,0.003619,11.3289,AVX
49152,0.004343,0.004342,0.000003,0.004338,0.004346,0.004346,11.3180,AVX
57344,0.005068,0.005069,0.000001,0.005068,0.005070,0.005070,11.3141,AVX
65536,0.005794,0.005798,0.000007,0.005792,0.005807,0.005807,11.3107,AVX
