array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000034,0.000034,0.000001,0.000033,0.000035,0.000035,15.2474,AVX2
1024,0.000082,0.000083,0.000000,0.000082,0.000083,0.000083,12.4237,AVX2
2048,0.000173,0.000173,0.000000,0.000173,0.000173,0.000173,11.8495,AVX2
4096,0.000355,0.000357,0.000003,0.000354,0.000362,0.000362,11.5246,AVX2
8192,0.000709,0.000711,0.000004,0.000707,0.000716,0.000716,11.5534,AVX2
12288,0.001071,0.001071,0.000003,0.001068,0.001075,0.001075,11.4761,AVX2
16384,0.001433,0.001433,0.000001,0.001432,0.001434,0.001434,11.4359,AVX2
20480,0.001800,0.001799,0.000002,0.001796,0.001801,0.001801,11.3804,AVX2
24576,0.002160,0.002160,0.000000,0.002160,0.002161,0.002161,11.3774,AVX2
28672,0.002524,0.002527,0.000005,0.002522,0.002534,0.002534,11.3580,AVX2
32768,0.002887,0.002886,0.000002,0.002883,0.002887,0.002887,11.3514,AVX2
40960,0.003621,0.003620,0.000005,0.003614,0.003626,0.003625,11.3127,AVX2
49152,0.004388,0.004411,0.000051,0.004363,0.004482,0.004480,11.2006,AVX2
57344,0.005254,0.005254,0.000001,0.005253,0.005256,0.005256,10.9146,AVX2
65536,0.006021,0.006020,0.000003,0.006016,0.006022,0.006022,10.8846,AVX2
