array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000018,0.000018,0.000000,0.000018,0.000018,0.000018,28.2408,AVX-512F
1024,0.000036,0.000036,0.000000,0.000036,0.000036,0.000036,28.6227,AVX-512F
2048,0.000086,0.000087,0.000001,0.000086,0.000089,0.000089,23.7105,AVX-512F
4096,0.000179,0.000180,0.000001,0.000179,0.000181,0.000181,22.8339,AVX-512F
8192,0.000370,0.000371,0.000001,0.000370,0.000372,0.000372,22.1155,AVX-512F
12288,0.000558,0.000554,0.000007,0.000544,0.000559,0.000559,22.0339,AVX-512F
16384,0.000736,0.000736,0.000002,0.000733,0.000738,0.000738,22.2708,AVX-512F
20480,0.000925,0.000924,0.000001,0.000924,0.000925,0.000925,22.1468,AVX-512F
24576,0.001112,0.001112,0.000001,0.001112,0.001114,0.001114,22.1022,AVX-512F
28672,0.001303,0.001303,0.000002,0.001301,0.001305,0.001305,21.9965,AVX-512F
32768,0.001488,0.001489,0.000001,0.001488,0.001490,0.001490,22.0213,AVX-512F
40960,0.001869,0.001870,0.000002,0.001868,0.001873,0.001873,21.9101,AVX-512F
49152,0.002249,0.002249,0.000002,0.002248,0.002252,0.002252,21.8598,AVX-512F
57344,0.002624,0.002624,0.000001,0.002623,0.002626,0.002626,21.8556,AVX-512F
65536,0.003007,0.003008,0.000003,0.003005,0.003012,0.003012,21.7938,AVX-512F
