array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000165,0.000165,0.000001,0.000164,0.000166,0.000166,3.0948,Scalar
1024,0.000351,0.000351,0.000001,0.000350,0.000352,0.000352,2.9165,Scalar
2048,0.000722,0.000721,0.000001,0.000719,0.000722,0.000722,2.8374,Scalar
4096,0.001449,0.001447,0.000003,0.001443,0.001450,0.001450,2.8266,Scalar
8192,0.002893,0.002895,0.000007,0.002888,0.002903,0.002903,2.8319,Scalar
12288,0.004315,0.004317,0.000006,0.004311,0.004324,0.004324,2.8480,Scalar
16384,0.005753,0.005755,0.000007,0.005748,0.005764,0.005764,2.8477,Scalar
20480,0.007202,0.007200,0.000003,0.007196,0.007202,0.007202,2.8439,Scalar
24576,0.008639,0.008639,0.000001,0.008638,0.008639,0.008639,2.8447,Scalar
28672,0.010082,0.010082,0.000002,0.010080,0.010085,0.010085,2.8438,Scalar
32768,0.011523,0.011524,0.000001,0.011523,0.011525,0.011525,2.8437,Scalar
40960,0.014414,0.014414,0.000005,0.014408,0.014420,0.014420,2.8417,Scalar
49152,0.017320,0.017317,0.000010,0.017303,0.017327,0.017327,2.8379,Scalar
57344,0.020207,0.020210,0.000007,0.020203,0.020219,0.020219,2.8378,Scalar
65536,0.023093,0.023092,0.000006,0.023085,0.023098,0.023098,2.8379,Scalar
