array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000082,0.000082,0.000000,0.000081,0.000082,0.000082,6.2397,SSE2
1024,0.000160,0.000160,0.000000,0.000160,0.000161,0.000161,6.3913,SSE2
2048,0.000341,0.000342,0.000001,0.000341,0.000343,0.000343,6.0032,SSE2
4096,0.000704,0.000705,0.000002,0.000704,0.000707,0.000707,5.8154,SSE2
8192,0.001433,0.001436,0.000006,0.001431,0.001445,0.001444,5.7152,SSE2
12288,0.002155,0.002157,0.000003,0.002155,0.002161,0.002161,5.7013,SSE2
16384,0.002882,0.002882,0.000001,0.002880,0.002883,0.002883,5.6850,SSE2
20480,0.003607,0.003606,0.000001,0.003605,0.003608,0.003608,5.6785,SSE2
24576,0.004333,0.004331,0.000003,0.004327,0.004334,0.004334,5.6717,SSE2
28672,0.005055,0.005055,0.000000,0.005054,0.005055,0.005055,5.6723,SSE2
32768,0.005783,0.005783,0.000004,0.005778,0.005788,0.005788,5.6664,SSE2
40960,0.007229,0.007229,0.000003,0.007226,0.007233,0.007233,5.6657,SSE2
49152,0.008687,0.008687,0.000001,0.008686,0.008688,0.008688,5.6582,SSE2
57344,0.010139,0.010139,0.000003,0.010136,0.010143,0.010143,5.6557,SSE2
65536,0.011595,0.011591,0.000008,0.011580,0.011599,0.011599,5.6522,SSE2
