array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000082,0.000083,0.000001,0.000082,0.000084,0.000084,6.2398,SSE4.2
1024,0.000173,0.000174,0.000001,0.000173,0.000175,0.000175,5.9275,SSE4.2
2048,0.000354,0.000355,0.000002,0.000353,0.000358,0.000358,5.7849,SSE4.2
4096,0.000707,0.000708,0.000003,0.000705,0.000711,0.000711,5.7919,SSE4.2
8192,0.001431,0.001431,0.000000,0.001431,0.001432,0.001432,5.7236,SSE4.2
12288,0.002160,0.002159,0.000002,0.002156,0.002161,0.002161,5.6881,SSE4.2
16384,0.002881,0.002882,0.000003,0.002880,0.002887,0.002887,5.6872,SSE4.2
20480,0.003613,0.003614,0.000005,0.003609,0.003620,0.003620,5.6681,SSE4.2
24576,0.004334,0.004334,0.000002,0.004332,0.004336,0.004336,5.6702,SSE4.2
28672,0.005067,0.005067,0.000008,0.005058,0.005077,0.005077,5.6584,SSE4.2
32768,0.005785,0.005786,0.000002,0.005784,0.005789,0.005789,5.6640,SSE4.2
40960,0.007239,0.007239,0.000000,0.007239,0.007239,0.007239,5.6580,SSE4.2
49152,0.008693,0.008701,0.000013,0.008691,0.008719,0.008719,5.6543,SSE4.2
57344,0.010142,0.010144,0.000004,0.010141,0.010149,0.010149,5.6542,SSE4.2
65536,0.011601,0.011600,0.000007,0.011591,0.011609,0.011609,5.6493,SSE4.2
