array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000006,0.000006,0.000000,0.000006,0.000007,0.000007,89.2950,AVX
1024,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,177.2853,AVX
2048,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,358.0420,AVX
4096,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,716.0839,AVX
8192,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,1431.7173,AVX
12288,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,2147.5011,AVX
16384,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,2863.4346,AVX
20480,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,3580.5453,AVX
24576,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,4256.3221,AVX
28672,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,5010.8347,AVX
32768,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,5603.2832,AVX
40960,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,7196.3178,AVX
49152,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,8632.2445,AVX
57344,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,10064.2362,AVX
65536,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,11501.5789,AVX
