array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,110.7745,AVX-512F
1024,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,221.6450,AVX-512F
2048,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,443.2900,AVX-512F
4096,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,886.6186,AVX-512F
8192,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,1773.9278,AVX-512F
12288,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,2660.8925,AVX-512F
16384,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,3547.8556,AVX-512F
20480,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,4430.9826,AVX-512F
24576,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,5321.7851,AVX-512F
28672,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,6208.7473,AVX-512F
32768,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,7098.7869,AVX-512F
40960,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,8889.2748,AVX-512F
49152,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,10671.2986,AVX-512F
57344,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,12444.4424,AVX-512F
65536,0.000005,0.000005,0.000000,0.000005,0.000005,0.000005,14216.0515,AVX-512F
