array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,90.8768,Scalar
1024,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,182.4661,Scalar
2048,0.000006,0.000006,0.000000,0.000006,0.000007,0.000007,364.2832,Scalar
4096,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,729.6046,Scalar
8192,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,1459.2611,Scalar
12288,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,2188.0346,Scalar
16384,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,2918.4186,Scalar
20480,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,3644.1277,Scalar
24576,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,4377.6278,Scalar
28672,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,5107.2312,Scalar
32768,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,5836.8356,Scalar
40960,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,7288.2555,Scalar
49152,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,8752.1386,Scalar
57344,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,10196.3025,Scalar
65536,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,11644.6344,Scalar
