array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,91.6577,SSE2
1024,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,183.5125,SSE2
2048,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,366.8935,SSE2
4096,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,731.6899,SSE2
8192,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,1466.5234,SSE2
12288,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,2203.8097,SSE2
16384,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,2929.9000,SSE2
20480,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,3670.2507,SSE2
24576,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,4405.8796,SSE2
28672,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,5134.6713,SSE2
32768,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,5874.5076,SSE2
40960,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,7343.1326,SSE2
49152,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,8808.9164,SSE2
57344,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,10280.7558,SSE2
65536,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,11744.8023,SSE2
