array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,89.5105,SSE4.2
1024,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,179.5231,SSE4.2
2048,0.000006,0.000006,0.000000,0.000006,0.000007,0.000007,358.9205,SSE4.2
4096,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,718.5965,SSE4.2
8192,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,1437.1930,SSE4.2
12288,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,2155.7896,SSE4.2
16384,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,2869.3521,SSE4.2
20480,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,3585.4337,SSE4.2
24576,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,4302.6717,SSE4.2
28672,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,5018.0258,SSE4.2
32768,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,5738.9046,SSE4.2
40960,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,7173.3803,SSE4.2
49152,0.000006,0.000008,0.000003,0.000006,0.000013,0.000013,8626.1842,SSE4.2
57344,0.000006,0.000006,0.000001,0.000006,0.000008,0.000008,10056.8236,SSE4.2
65536,0.000006,0.000006,0.000000,0.000006,0.000006,0.000006,11513.7053,SSE4.2
