array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000065,0.000066,0.000002,0.000065,0.000068,0.000068,7.8826,AVX
1024,0.000132,0.000132,0.000001,0.000131,0.000134,0.000134,7.7839,AVX
2048,0.000268,0.000269,0.000002,0.000268,0.000271,0.000271,7.6298,AVX
4096,0.000540,0.000541,0.000002,0.000540,0.000544,0.000544,7.5848,AVX
8192,0.001093,0.001094,0.000004,0.001090,0.001100,0.001100,7.4963,AVX
12288,0.001638,0.001639,0.000002,0.001637,0.001642,0.001642,7.4999,AVX
16384,0.002190,0.002190,0.000003,0.002185,0.002193,0.002193,7.4804,AVX
20480,0.002737,0.002737,0.000001,0.002735,0.002738,0.002738,7.4825,AVX
24576,0.003291,0.003288,0.000005,0.003281,0.003292,0.003292,7.4681,AVX
28672,0.003838,0.003838,0.000002,0.003835,0.003840,0.003840,7.4709,AVX
32768,0.004386,0.004387,0.000003,0.004384,0.004391,0.004391,7.4707,AVX
40960,0.005486,0.005485,0.000002,0.005483,0.005488,0.005488,7.4666,AVX
49152,0.006582,0.006581,0.000003,0.006577,0.006583,0.006583,7.4678,AVX
57344,0.007680,0.007680,0.000001,0.007678,0.007681,0.007681,7.4670,AVX
65536,0.008777,0.008779,0.000004,0.008775,0.008784,0.008784,7.4671,AVX
