array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000065,0.000065,0.000000,0.000065,0.000066,0.000066,7.8524,AVX2
1024,0.000136,0.000137,0.000001,0.000136,0.000138,0.000138,7.5053,AVX2
2048,0.000278,0.000279,0.000005,0.000273,0.000285,0.000284,7.3674,AVX2
4096,0.000547,0.000546,0.000006,0.000539,0.000553,0.000553,7.4899,AVX2
8192,0.001095,0.001096,0.000002,0.001095,0.001098,0.001098,7.4830,AVX2
12288,0.001648,0.001647,0.000002,0.001644,0.001650,0.001650,7.4548,AVX2
16384,0.002192,0.002192,0.000002,0.002189,0.002195,0.002195,7.4738,AVX2
20480,0.002744,0.002743,0.000002,0.002740,0.002745,0.002745,7.4626,AVX2
24576,0.003291,0.003291,0.000002,0.003290,0.003294,0.003294,7.4673,AVX2
28672,0.003843,0.003842,0.000007,0.003833,0.003851,0.003851,7.4606,AVX2
32768,0.004386,0.004388,0.000005,0.004382,0.004395,0.004395,7.4716,AVX2
40960,0.005499,0.005502,0.000008,0.005494,0.005514,0.005513,7.4484,AVX2
49152,0.006593,0.006592,0.000003,0.006588,0.006595,0.006595,7.4554,AVX2
57344,0.007695,0.007695,0.000002,0.007693,0.007698,0.007698,7.4523,AVX2
65536,0.008816,0.008815,0.000003,0.008812,0.008819,0.008819,7.4338,AVX2
