array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000069,0.000066,0.000005,0.000059,0.000069,0.000069,7.4255,AVX-512F
1024,0.000125,0.000126,0.000001,0.000125,0.000128,0.000128,8.1598,AVX-512F
2048,0.000266,0.000267,0.000002,0.000265,0.000269,0.000269,7.7129,AVX-512F
4096,0.000548,0.000548,0.000001,0.000547,0.000549,0.000549,7.4783,AVX-512F
8192,0.001120,0.001123,0.000009,0.001114,0.001135,0.001135,7.3138,AVX-512F
12288,0.001679,0.001679,0.000002,0.001676,0.001681,0.001681,7.3188,AVX-512F
16384,0.002239,0.002237,0.000003,0.002232,0.002239,0.002239,7.3181,AVX-512F
20480,0.002843,0.002857,0.000053,0.002800,0.002928,0.002926,7.2031,AVX-512F
24576,0.003357,0.003361,0.000008,0.003354,0.003372,0.003372,7.3198,AVX-512F
28672,0.003918,0.003968,0.000073,0.003916,0.004071,0.004068,7.3186,AVX-512F
32768,0.004525,0.004582,0.000104,0.004493,0.004728,0.004724,7.2418,AVX-512F
40960,0.005782,0.005791,0.000127,0.005640,0.005951,0.005947,7.0842,AVX-512F
49152,0.006836,0.006835,0.000069,0.006749,0.006920,0.006918,7.1904,AVX-512F
57344,0.007855,0.007860,0.000010,0.007850,0.007874,0.007873,7.3003,AVX-512F
65536,0.008985,0.009044,0.000102,0.008959,0.009188,0.009184,7.2938,AVX-512F
