array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000208,0.000208,0.000000,0.000208,0.000208,0.000208,2.4626,Scalar
1024,0.000421,0.000420,0.000004,0.000415,0.000425,0.000425,2.4327,Scalar
2048,0.000834,0.000836,0.000004,0.000833,0.000841,0.000841,2.4554,Scalar
4096,0.001687,0.001684,0.000003,0.001679,0.001687,0.001687,2.4286,Scalar
8192,0.003377,0.003377,0.000005,0.003370,0.003382,0.003382,2.4259,Scalar
12288,0.005072,0.005060,0.000021,0.005031,0.005077,0.005077,2.4227,Scalar
16384,0.006572,0.006573,0.000002,0.006570,0.006576,0.006576,2.4928,Scalar
20480,0.008208,0.008209,0.000002,0.008207,0.008213,0.008213,2.4951,Scalar
24576,0.009847,0.009846,0.000003,0.009842,0.009850,0.009850,2.4957,Scalar
28672,0.011490,0.011487,0.000004,0.011482,0.011490,0.011490,2.4955,Scalar
32768,0.013121,0.013122,0.000004,0.013118,0.013128,0.013128,2.4974,Scalar
40960,0.016408,0.016409,0.000006,0.016403,0.016417,0.016417,2.4963,Scalar
49152,0.019687,0.019685,0.000004,0.019680,0.019689,0.019688,2.4966,Scalar
57344,0.023081,0.023103,0.000093,0.023001,0.023226,0.023224,2.4845,Scalar
65536,0.026254,0.026255,0.000001,0.026254,0.026256,0.026256,2.4962,Scalar
