array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000112,0.000112,0.000000,0.000112,0.000113,0.000113,4.5684,SSE2
1024,0.000225,0.000226,0.000001,0.000225,0.000226,0.000226,4.5488,SSE2
2048,0.000447,0.000446,0.000001,0.000445,0.000447,0.000447,4.5844,SSE2
4096,0.000903,0.000904,0.000003,0.000902,0.000908,0.000908,4.5363,SSE2
8192,0.001820,0.001820,0.000002,0.001817,0.001822,0.001822,4.5001,SSE2
12288,0.002729,0.002729,0.000001,0.002728,0.002731,0.002731,4.5029,SSE2
16384,0.003643,0.003643,0.000002,0.003641,0.003647,0.003647,4.4979,SSE2
20480,0.004557,0.004555,0.000003,0.004552,0.004558,0.004558,4.4945,SSE2
24576,0.005467,0.005467,0.000001,0.005465,0.005468,0.005468,4.4954,SSE2
28672,0.006379,0.006378,0.000003,0.006375,0.006381,0.006381,4.4947,SSE2
32768,0.007321,0.007318,0.000014,0.007299,0.007334,0.007334,4.4759,SSE2
40960,0.009124,0.009124,0.000001,0.009123,0.009125,0.009125,4.4895,SSE2
49152,0.010948,0.010949,0.000004,0.010945,0.010954,0.010954,4.4897,SSE2
57344,0.012761,0.012762,0.000002,0.012760,0.012764,0.012764,4.4938,SSE2
65536,0.014588,0.014589,0.000004,0.014584,0.014595,0.014595,4.4924,SSE2
