array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000111,0.000111,0.000001,0.000109,0.000112,0.000112,4.6068,SSE4.2
1024,0.000224,0.000224,0.000001,0.000223,0.000224,0.000224,4.5640,SSE4.2
2048,0.000446,0.000448,0.000003,0.000446,0.000451,0.000451,4.5914,SSE4.2
4096,0.000906,0.000905,0.000003,0.000902,0.000909,0.000909,4.5229,SSE4.2
8192,0.001817,0.001816,0.000001,0.001814,0.001817,0.001817,4.5097,SSE4.2
12288,0.002735,0.002733,0.000003,0.002729,0.002736,0.002736,4.4933,SSE4.2
16384,0.003645,0.003644,0.000002,0.003640,0.003646,0.003646,4.4952,SSE4.2
20480,0.004555,0.004557,0.000005,0.004552,0.004565,0.004565,4.4958,SSE4.2
24576,0.005470,0.005472,0.000003,0.005469,0.005477,0.005477,4.4928,SSE4.2
28672,0.006385,0.006384,0.000003,0.006380,0.006388,0.006388,4.4907,SSE4.2
32768,0.007298,0.007296,0.000004,0.007290,0.007299,0.007299,4.4900,SSE4.2
40960,0.009114,0.009112,0.000003,0.009107,0.009114,0.009114,4.4944,SSE4.2
49152,0.010938,0.010941,0.000005,0.010938,0.010948,0.010948,4.4937,SSE4.2
57344,0.012767,0.012765,0.000003,0.012761,0.012768,0.012768,4.4915,SSE4.2
65536,0.014589,0.014587,0.000004,0.014581,0.014591,0.014591,4.4922,SSE4.2
