array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000012,0.000013,0.000001,0.000012,0.000014,0.000014,41.7111,AVX
1024,0.000024,0.000025,0.000001,0.000024,0.000027,0.000027,41.9555,AVX
2048,0.000055,0.000055,0.000000,0.000054,0.000056,0.000056,37.0869,AVX
4096,0.000112,0.000112,0.000001,0.000112,0.000114,0.000114,36.5387,AVX
8192,0.000383,0.000384,0.000002,0.000382,0.000388,0.000388,21.3725,AVX
12288,0.000575,0.000575,0.000002,0.000568,0.000577,0.000577,21.3566,AVX
16384,0.000763,0.000762,0.000002,0.000758,0.000765,0.000765,21.4833,AVX
20480,0.000953,0.000952,0.000004,0.000943,0.000957,0.000957,21.4867,AVX
24576,0.001144,0.001143,0.000002,0.001138,0.001146,0.001146,21.4900,AVX
28672,0.001333,0.001333,0.000004,0.001323,0.001339,0.001339,21.5089,AVX
32768,0.001335,0.001339,0.000015,0.001329,0.001382,0.001378,24.5413,AVX
40960,0.001599,0.001599,0.000005,0.001592,0.001607,0.001607,25.6167,AVX
49152,0.001915,0.001913,0.000011,0.001895,0.001929,0.001929,25.6640,AVX
57344,0.002774,0.002774,0.000006,0.002766,0.002784,0.002783,20.6695,AVX
65536,0.003197,0.003198,0.000006,0.003189,0.003210,0.003210,20.4990,AVX
