array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000029,0.000030,0.000003,0.000026,0.000039,0.000038,17.5813,SSE2
1024,0.000052,0.000052,0.000001,0.000052,0.000054,0.000054,19.5548,SSE2
2048,0.000100,0.000101,0.000002,0.000100,0.000105,0.000105,20.4615,SSE2
4096,0.000227,0.000228,0.000002,0.000226,0.000232,0.000231,18.0403,SSE2
8192,0.000463,0.000465,0.000022,0.000441,0.000492,0.000492,17.6868,SSE2
12288,0.000683,0.000683,0.000001,0.000681,0.000684,0.000684,17.9937,SSE2
16384,0.000962,0.000963,0.000001,0.000961,0.000966,0.000966,17.0236,SSE2
20480,0.001160,0.001160,0.000002,0.001156,0.001162,0.001162,17.6578,SSE2
24576,0.001343,0.001343,0.000002,0.001339,0.001347,0.001346,18.3021,SSE2
28672,0.001661,0.001661,0.000001,0.001659,0.001663,0.001663,17.2602,SSE2
32768,0.001752,0.001753,0.000003,0.001748,0.001757,0.001757,18.7040,SSE2
40960,0.002186,0.002186,0.000003,0.002181,0.002192,0.002191,18.7407,SSE2
49152,0.002620,0.002621,0.000003,0.002616,0.002626,0.002626,18.7595,SSE2
57344,0.003058,0.003059,0.000004,0.003054,0.003066,0.003066,18.7551,SSE2
65536,0.004409,0.004410,0.000006,0.004403,0.004425,0.004424,14.8648,SSE2
