array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000024,0.000024,0.000001,0.000024,0.000027,0.000027,21.2945,SSE4.2
1024,0.000054,0.000054,0.000001,0.000053,0.000056,0.000056,19.1150,SSE4.2
2048,0.000101,0.000101,0.000001,0.000101,0.000104,0.000103,20.2068,SSE4.2
4096,0.000222,0.000223,0.000002,0.000221,0.000227,0.000226,18.4369,SSE4.2
8192,0.000443,0.000445,0.000006,0.000442,0.000463,0.000462,18.4804,SSE4.2
12288,0.000685,0.000685,0.000001,0.000683,0.000688,0.000688,17.9328,SSE4.2
16384,0.000941,0.000941,0.000001,0.000940,0.000943,0.000943,17.4071,SSE4.2
20480,0.001115,0.001115,0.000002,0.001112,0.001120,0.001120,18.3667,SSE4.2
24576,0.001420,0.001420,0.000002,0.001417,0.001425,0.001425,17.3101,SSE4.2
28672,0.001573,0.001573,0.000002,0.001570,0.001575,0.001575,18.2313,SSE4.2
32768,0.001752,0.001753,0.000003,0.001749,0.001759,0.001759,18.7020,SSE4.2
40960,0.002184,0.002185,0.000002,0.002181,0.002189,0.002189,18.7528,SSE4.2
49152,0.002621,0.002620,0.000003,0.002615,0.002625,0.002624,18.7535,SSE4.2
57344,0.003104,0.003104,0.000003,0.003099,0.003110,0.003110,18.4752,SSE4.2
65536,0.003977,0.003976,0.000005,0.003965,0.003982,0.003982,16.4799,SSE4.2
