array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000520,0.000521,0.000004,0.000516,0.000529,0.000529,0.9847,AVX
1024,0.000812,0.000812,0.000001,0.000810,0.000814,0.000814,1.2609,AVX
2048,0.001373,0.001373,0.000017,0.001348,0.001402,0.001401,1.4912,AVX
4096,0.002462,0.002461,0.000027,0.002417,0.002500,0.002500,1.6636,AVX
8192,0.004658,0.004660,0.000038,0.004592,0.004716,0.004716,1.7589,AVX
12288,0.006869,0.006875,0.000018,0.006845,0.006904,0.006903,1.7889,AVX
16384,0.009060,0.009052,0.000048,0.008930,0.009108,0.009108,1.8083,AVX
20480,0.011260,0.011266,0.000037,0.011198,0.011326,0.011326,1.8189,AVX
24576,0.013455,0.013456,0.000052,0.013371,0.013551,0.013548,1.8266,AVX
28672,0.015624,0.015606,0.000056,0.015486,0.015674,0.015673,1.8351,AVX
32768,0.017816,0.017803,0.000057,0.017696,0.017890,0.017889,1.8393,AVX
40960,0.022162,0.022158,0.000050,0.022076,0.022249,0.022246,1.8482,AVX
49152,0.026570,0.026573,0.000070,0.026487,0.026735,0.026726,1.8499,AVX
57344,0.030934,0.030941,0.000064,0.030856,0.031092,0.031082,1.8538,AVX
65536,0.035285,0.035329,0.000102,0.035239,0.035587,0.035570,1.8573,AVX
