array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000520,0.000520,0.000002,0.000516,0.000525,0.000525,0.9852,AVX-512F
1024,0.000810,0.000812,0.000005,0.000807,0.000825,0.000824,1.2639,AVX-512F
2048,0.001365,0.001367,0.000011,0.001352,0.001383,0.001383,1.5005,AVX-512F
4096,0.002464,0.002464,0.000017,0.002440,0.002501,0.002500,1.6627,AVX-512F
8192,0.004653,0.004656,0.000024,0.004626,0.004697,0.004696,1.7607,AVX-512F
12288,0.006863,0.006856,0.000049,0.006768,0.006940,0.006937,1.7904,AVX-512F
16384,0.009019,0.009023,0.000044,0.008956,0.009094,0.009094,1.8166,AVX-512F
20480,0.011253,0.011255,0.000068,0.011177,0.011350,0.011350,1.8199,AVX-512F
24576,0.013477,0.013472,0.000050,0.013389,0.013540,0.013540,1.8235,AVX-512F
28672,0.015640,0.015635,0.000048,0.015557,0.015700,0.015699,1.8333,AVX-512F
32768,0.017846,0.017850,0.000063,0.017749,0.017955,0.017955,1.8362,AVX-512F
40960,0.022243,0.022263,0.000086,0.022177,0.022483,0.022468,1.8415,AVX-512F
49152,0.026551,0.026546,0.000033,0.026475,0.026587,0.026586,1.8513,AVX-512F
57344,0.030925,0.030940,0.000061,0.030854,0.031041,0.031039,1.8543,AVX-512F
65536,0.035372,0.035372,0.000047,0.035301,0.035441,0.035440,1.8528,AVX-512F
