array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000533,0.000534,0.000005,0.000527,0.000546,0.000546,0.9606,Scalar
1024,0.000815,0.000816,0.000004,0.000811,0.000824,0.000824,1.2565,Scalar
2048,0.001374,0.001374,0.000012,0.001357,0.001400,0.001399,1.4909,Scalar
4096,0.002471,0.002475,0.000017,0.002452,0.002503,0.002502,1.6579,Scalar
8192,0.004681,0.004654,0.000053,0.004565,0.004736,0.004732,1.7502,Scalar
12288,0.006903,0.006903,0.000036,0.006835,0.006951,0.006951,1.7801,Scalar
16384,0.009041,0.009034,0.000059,0.008914,0.009126,0.009124,1.8122,Scalar
20480,0.011225,0.011247,0.000069,0.011171,0.011353,0.011353,1.8246,Scalar
24576,0.013455,0.013445,0.000047,0.013353,0.013538,0.013532,1.8265,Scalar
28672,0.015619,0.015639,0.000068,0.015563,0.015810,0.015800,1.8357,Scalar
32768,0.017816,0.017815,0.000057,0.017711,0.017905,0.017902,1.8392,Scalar
40960,0.022195,0.022187,0.000056,0.022069,0.022244,0.022244,1.8454,Scalar
49152,0.026606,0.026611,0.000050,0.026550,0.026699,0.026698,1.8474,Scalar
57344,0.030986,0.030973,0.000051,0.030863,0.031043,0.031041,1.8507,Scalar
65536,0.035365,0.035362,0.000045,0.035289,0.035426,0.035425,1.8532,Scalar
