array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000524,0.000524,0.000004,0.000514,0.000530,0.000529,0.9768,SSE2
1024,0.000815,0.000815,0.000001,0.000813,0.000817,0.000817,1.2569,SSE2
2048,0.001362,0.001361,0.000007,0.001349,0.001375,0.001374,1.5037,SSE2
4096,0.002472,0.002476,0.000021,0.002448,0.002514,0.002513,1.6566,SSE2
8192,0.004659,0.004671,0.000025,0.004637,0.004713,0.004713,1.7583,SSE2
12288,0.006853,0.006839,0.000030,0.006779,0.006873,0.006872,1.7932,SSE2
16384,0.009070,0.009104,0.000122,0.008979,0.009428,0.009407,1.8064,SSE2
20480,0.011247,0.011246,0.000066,0.011149,0.011369,0.011366,1.8210,SSE2
24576,0.013445,0.013425,0.000070,0.013317,0.013574,0.013565,1.8279,SSE2
28672,0.015606,0.015587,0.000043,0.015523,0.015643,0.015642,1.8372,SSE2
32768,0.017843,0.017832,0.000061,0.017723,0.017921,0.017918,1.8365,SSE2
40960,0.022190,0.022192,0.000031,0.022152,0.022243,0.022242,1.8459,SSE2
49152,0.026556,0.026538,0.000078,0.026406,0.026675,0.026670,1.8509,SSE2
57344,0.030928,0.030929,0.000050,0.030850,0.031037,0.031031,1.8541,SSE2
65536,0.035274,0.035264,0.000040,0.035181,0.035329,0.035326,1.8579,SSE2
