array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000521,0.000521,0.000003,0.000514,0.000525,0.000525,0.9822,SSE4.2
1024,0.000810,0.000810,0.000001,0.000807,0.000813,0.000813,1.2648,SSE4.2
2048,0.001382,0.001375,0.000019,0.001340,0.001398,0.001398,1.4816,SSE4.2
4096,0.002452,0.002473,0.000064,0.002417,0.002657,0.002641,1.6705,SSE4.2
8192,0.004629,0.004638,0.000031,0.004592,0.004709,0.004705,1.7698,SSE4.2
12288,0.006841,0.006831,0.000037,0.006763,0.006873,0.006873,1.7963,SSE4.2
16384,0.009039,0.009040,0.000063,0.008968,0.009159,0.009156,1.8125,SSE4.2
20480,0.011229,0.011213,0.000045,0.011094,0.011263,0.011261,1.8238,SSE4.2
24576,0.013420,0.013419,0.000044,0.013339,0.013515,0.013509,1.8312,SSE4.2
28672,0.015627,0.015627,0.000030,0.015585,0.015696,0.015692,1.8348,SSE4.2
32768,0.017824,0.017814,0.000047,0.017720,0.017884,0.017883,1.8384,SSE4.2
40960,0.022178,0.022220,0.000166,0.022085,0.022707,0.022663,1.8469,SSE4.2
49152,0.026564,0.026566,0.000056,0.026483,0.026642,0.026642,1.8503,SSE4.2
57344,0.031080,0.031186,0.000295,0.030898,0.031726,0.031725,1.8450,SSE4.2
65536,0.035315,0.035316,0.000042,0.035247,0.035380,0.035380,1.8558,SSE4.2
