array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.014469,0.014599,0.000234,0.014385,0.015056,0.015051,0.0354,AVX
1024,0.014459,0.014460,0.000007,0.014453,0.014477,0.014476,0.0708,AVX
2048,0.014644,0.014641,0.000010,0.014621,0.014654,0.014654,0.1399,AVX
4096,0.015062,0.016317,0.002008,0.014988,0.020880,0.020704,0.2720,AVX
8192,0.015924,0.016042,0.000238,0.015842,0.016602,0.016570,0.5145,AVX
12288,0.018627,0.018769,0.001975,0.016561,0.021537,0.021513,0.6597,AVX
16384,0.017458,0.018910,0.001951,0.017321,0.021868,0.021856,0.9385,AVX
20480,0.019270,0.019456,0.001007,0.018464,0.021506,0.021470,1.0628,AVX
24576,0.018804,0.019126,0.000649,0.018788,0.020493,0.020481,1.3069,AVX
28672,0.019863,0.021982,0.002818,0.019589,0.025435,0.025434,1.4435,AVX
32768,0.020306,0.021116,0.001167,0.020270,0.023446,0.023380,1.6137,AVX
40960,0.024587,0.024823,0.001316,0.022516,0.026737,0.026728,1.6659,AVX
49152,0.024409,0.025253,0.002090,0.023347,0.029613,0.029425,2.0137,AVX
57344,0.026862,0.026572,0.000875,0.024733,0.028001,0.027928,2.1348,AVX
65536,0.028031,0.028211,0.001427,0.026492,0.031346,0.031156,2.3380,AVX
