array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.014462,0.015273,0.002277,0.014370,0.022090,0.021436,0.0354,AVX-512F
1024,0.014570,0.015043,0.001095,0.014524,0.018217,0.017971,0.0703,AVX-512F
2048,0.014708,0.014721,0.000060,0.014676,0.014893,0.014879,0.1392,AVX-512F
4096,0.015236,0.015393,0.000412,0.015087,0.016517,0.016437,0.2688,AVX-512F
8192,0.015881,0.015942,0.000188,0.015851,0.016503,0.016450,0.5158,AVX-512F
12288,0.016591,0.016762,0.000347,0.016554,0.017715,0.017648,0.7406,AVX-512F
16384,0.017277,0.017404,0.000306,0.017215,0.018242,0.018190,0.9483,AVX-512F
20480,0.018216,0.018994,0.001712,0.018009,0.023517,0.023276,1.1243,AVX-512F
24576,0.019300,0.020789,0.002536,0.018919,0.025723,0.025617,1.2733,AVX-512F
28672,0.019901,0.020324,0.000886,0.019609,0.022164,0.022104,1.4407,AVX-512F
32768,0.022381,0.022987,0.002156,0.020439,0.026178,0.026133,1.4641,AVX-512F
40960,0.022196,0.022766,0.001336,0.021794,0.025437,0.025424,1.8454,AVX-512F
49152,0.029046,0.028217,0.002602,0.023323,0.032057,0.031795,1.6922,AVX-512F
57344,0.027531,0.028250,0.003716,0.024716,0.036279,0.035787,2.0829,AVX-512F
65536,0.026211,0.028239,0.002546,0.026199,0.032037,0.032036,2.5004,AVX-512F
