array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.014573,0.015681,0.002679,0.014441,0.023601,0.022917,0.0351,Scalar
1024,0.014606,0.014960,0.000928,0.014542,0.017709,0.017473,0.0701,Scalar
2048,0.014786,0.015009,0.000737,0.014677,0.017217,0.017000,0.1385,Scalar
4096,0.015222,0.016345,0.002986,0.015116,0.025250,0.024438,0.2691,Scalar
8192,0.015929,0.016191,0.000483,0.015889,0.017460,0.017380,0.5143,Scalar
12288,0.016666,0.016945,0.000603,0.016583,0.018336,0.018300,0.7373,Scalar
16384,0.017386,0.017570,0.000535,0.017318,0.019161,0.019015,0.9424,Scalar
20480,0.018771,0.019440,0.001453,0.018219,0.022273,0.022229,1.0910,Scalar
24576,0.018998,0.019402,0.001233,0.018946,0.023100,0.022734,1.2936,Scalar
28672,0.019760,0.020038,0.000504,0.019700,0.021200,0.021166,1.4510,Scalar
32768,0.021304,0.022009,0.001652,0.020449,0.024746,0.024729,1.5381,Scalar
40960,0.022085,0.022456,0.000931,0.021826,0.025025,0.024858,1.8546,Scalar
49152,0.027555,0.028555,0.005106,0.023313,0.034927,0.034927,1.7838,Scalar
57344,0.030538,0.030572,0.000382,0.029887,0.031178,0.031171,1.8778,Scalar
65536,0.032137,0.032203,0.000147,0.032126,0.032594,0.032573,2.0393,Scalar
