array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.014378,0.014391,0.000046,0.014340,0.014491,0.014488,0.0356,SSE2
1024,0.014475,0.014573,0.000201,0.014460,0.015012,0.015005,0.0707,SSE2
2048,0.014727,0.014724,0.000010,0.014701,0.014739,0.014739,0.1391,SSE2
4096,0.015039,0.015241,0.000375,0.015012,0.016253,0.016189,0.2724,SSE2
8192,0.015926,0.016082,0.000371,0.015756,0.016767,0.016763,0.5144,SSE2
12288,0.016932,0.016975,0.000375,0.016495,0.017539,0.017532,0.7257,SSE2
16384,0.017260,0.017469,0.000427,0.017223,0.018653,0.018564,0.9492,SSE2
20480,0.018065,0.019139,0.002884,0.018048,0.027766,0.026952,1.1337,SSE2
24576,0.018818,0.019326,0.001536,0.018789,0.023934,0.023476,1.3060,SSE2
28672,0.019565,0.019633,0.000142,0.019549,0.020009,0.019989,1.4654,SSE2
32768,0.020340,0.020339,0.000005,0.020331,0.020348,0.020348,1.6110,SSE2
40960,0.021818,0.021840,0.000077,0.021801,0.022068,0.022047,1.8774,SSE2
49152,0.023286,0.024130,0.001744,0.023281,0.029031,0.028700,2.1108,SSE2
57344,0.030639,0.030695,0.000277,0.030503,0.031459,0.031406,1.8716,SSE2
65536,0.032119,0.031018,0.002271,0.026274,0.032735,0.032713,2.0404,SSE2
