array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.014379,0.014465,0.000220,0.014342,0.015086,0.015043,0.0356,SSE4.2
1024,0.014467,0.014465,0.000011,0.014450,0.014491,0.014489,0.0708,SSE4.2
2048,0.014652,0.014741,0.000273,0.014640,0.015559,0.015478,0.1398,SSE4.2
4096,0.015009,0.018346,0.005119,0.014999,0.026699,0.026698,0.2729,SSE4.2
8192,0.015770,0.016840,0.003195,0.015727,0.026426,0.025472,0.5195,SSE4.2
12288,0.016555,0.016647,0.000159,0.016522,0.016950,0.016945,0.7423,SSE4.2
16384,0.017781,0.020119,0.004049,0.017251,0.028934,0.028701,0.9214,SSE4.2
20480,0.018450,0.020884,0.003165,0.018442,0.027179,0.026923,1.1100,SSE4.2
24576,0.024676,0.023196,0.002396,0.018950,0.025114,0.025075,0.9960,SSE4.2
28672,0.019672,0.020622,0.001902,0.019587,0.025643,0.025377,1.4575,SSE4.2
32768,0.022344,0.022621,0.002304,0.020265,0.026139,0.026136,1.4665,SSE4.2
40960,0.021787,0.024539,0.004332,0.021737,0.033359,0.033080,1.8800,SSE4.2
49152,0.023252,0.024367,0.002225,0.023218,0.029241,0.029161,2.1139,SSE4.2
57344,0.024717,0.026661,0.003632,0.024688,0.036313,0.035758,2.3200,SSE4.2
65536,0.026322,0.027999,0.003663,0.026170,0.037793,0.037258,2.4898,SSE4.2
