array_size,median_ms,mean_ms,stddev_ms,min_ms,max_ms,p99_ms,gflops,simd_level
512,0.000055,0.000054,0.000002,0.000052,0.000057,0.000057,9.3808,AVX
1024,0.000110,0.000110,0.000001,0.000109,0.000112,0.000112,9.3224,AVX
2048,0.000217,0.000216,0.000010,0.000200,0.000232,0.000232,9.4379,AVX
4096,0.000422,0.000425,0.000012,0.000408,0.000448,0.000447,9.7117,AVX
8192,0.000837,0.000842,0.000022,0.000810,0.000891,0.000888,9.7839,AVX
12288,0.001308,0.001303,0.000019,0.001267,0.001331,0.001330,9.3927,AVX
16384,0.001740,0.001722,0.000036,0.001651,0.001763,0.001762,9.4164,AVX
20480,0.002123,0.002121,0.000029,0.002054,0.002169,0.002167,9.6449,AVX
24576,0.002538,0.002542,0.000021,0.002513,0.002576,0.002575,9.6847,AVX
28672,0.003027,0.003032,0.000039,0.002972,0.003087,0.003086,9.4721,AVX
32768,0.003399,0.003389,0.000029,0.003321,0.003429,0.003427,9.6416,AVX
40960,0.004321,0.004329,0.000032,0.004272,0.004372,0.004372,9.4785,AVX
49152,0.005229,0.005218,0.000068,0.005097,0.005342,0.005336,9.3992,AVX
57344,0.006038,0.006030,0.000060,0.005904,0.006121,0.006117,9.4979,AVX
65536,0.006888,0.006907,0.000053,0.006836,0.006985,0.006983,9.5146,AVX
